ImageId,classId,class1Coor,class2Coor,class3Coor,class4Coor
0002cc93b.jpg,1,"['332 193 24 63', '113 162 15 23', '304 89 28 105', '741 75 15 27', '350 64 19 39']",0,0,0
0007a71bf.jpg,3,0,0,"['72 147 14 109', '1145 5 23 250']",0
000a4bcdd.jpg,1,"['435 233 24 23', '146 207 42 35', '244 203 24 22', '352 194 26 34', '397 184 20 23', '286 147 41 49', '373 129 45 27', '247 114 30 49', '338 109 18 32', '439 56 23 42']",0,0,0
000f6bf48.jpg,4,0,0,0,"['853 127 278 129', '516 1 345 217']"
0014fce06.jpg,3,0,0,['896 61 34 189'],0
0025bde0c.jpg,"3, 4",0,0,"['836 96 33 81', '1007 24 32 73', '1074 15 31 89', '1166 10 35 97', '889 5 51 92', '33 3 195 104']","['1389 66 124 120', '1231 1 186 47']"
002af848d.jpg,4,0,0,0,"['1135 223 90 32', '1382 190 73 65']"
002fc4e19.jpg,"1, 2",['570 84 26 77'],['568 164 17 92'],0,0
0030401a5.jpg,4,0,0,0,"['730 197 52 59', '854 0 462 256']"
0046839bd.jpg,3,0,0,['598 43 170 57'],0
005d86c25.jpg,3,0,0,"['92 5 191 64', '1 0 763 256']",0
005f02e20.jpg,3,0,0,['1244 105 53 110'],0
005f19695.jpg,3,0,0,"['678 3 30 253', '1131 1 34 234', '574 1 39 255', '523 1 26 234', '481 1 22 125', '1273 0 48 256']",0
008621629.jpg,4,0,0,0,"['841 181 184 73', '1152 135 429 115']"
0088260da.jpg,3,0,0,"['1399 51 30 204', '1351 29 31 227', '414 0 970 173', '101 0 40 256']",0
008d0f87b.jpg,3,0,0,"['1482 133 34 123', '282 50 25 203', '558 1 30 114']",0
008ef3d74.jpg,"1, 2",['1391 183 40 73'],['1466 5 34 157'],0,0
0095cd374.jpg,3,0,0,['41 2 72 219'],0
00ac8372f.jpg,"1, 2",['397 107 19 81'],"['383 64 14 192', '417 1 34 255']",0,0
00af2671f.jpg,3,0,0,"['1100 1 21 228', '800 1 24 255', '835 0 19 256', '663 0 77 256', '607 0 27 256']",0
00bc01bfe.jpg,1,"['1314 205 22 51', '880 194 11 43', '831 194 13 31', '1256 152 27 43', '1093 130 24 86']",0,0,0
00bf8497a.jpg,3,0,0,"['1392 64 83 29', '864 33 43 50', '796 24 54 80']",0
00c88fed0.jpg,"1, 2",['40 228 19 27'],"['52 115 19 141', '61 2 23 182']",0,0
00cdb56a0.jpg,3,0,0,['1034 72 39 63'],0
00d639396.jpg,3,0,0,['895 1 336 255'],0
00e0398ad.jpg,3,0,0,"['1019 2 215 254', '446 0 116 256', '31 0 97 256']",0
00ec97699.jpg,3,0,0,['1104 128 119 103'],0
00f1665e6.jpg,3,0,0,"['1154 112 45 143', '933 70 21 89', '1055 1 16 84', '984 0 53 256']",0
00f6e702c.jpg,3,0,0,"['1202 143 23 72', '1172 91 13 46', '1134 86 33 165', '1305 26 25 35', '1166 11 19 18']",0
01053d28f.jpg,1,"['261 207 30 41', '230 104 26 45', '168 55 29 27', '241 41 23 35', '197 27 30 95']",0,0,0
010db68d1.jpg,1,"['227 218 23 24', '382 94 32 46', '433 53 29 68', '301 53 23 43']",0,0,0
012a9a4c7.jpg,1,"['690 77 42 49', '704 1 38 42']",0,0,0
012d29df4.jpg,3,0,0,"['93 66 302 51', '0 55 1421 194', '775 33 65 48', '579 33 52 73', '445 30 59 43']",0
012f26693.jpg,"3, 4",0,0,"['17 4 32 87', '177 1 49 119']",['137 130 165 116']
01338c0ea.jpg,3,0,0,"['281 141 27 92', '298 1 30 116']",0
0139dd004.jpg,3,0,0,"['909 104 37 45', '542 8 47 45']",0
0141c9bf3.jpg,3,0,0,"['1308 137 20 23', '1164 92 65 149']",0
0148e9891.jpg,3,0,0,"['986 24 31 232', '923 0 21 256']",0
014ebe543.jpg,3,0,0,"['676 153 77 68', '10 75 59 57', '140 72 100 81', '1188 3 22 40']",0
01540cab1.jpg,3,0,0,['386 184 488 48'],0
01661826d.jpg,1,"['1396 84 54 85', '1325 26 50 122']",0,0,0
0167a740e.jpg,1,['903 1 20 143'],0,0,0
016af13d0.jpg,3,0,0,"['184 1 96 254', '39 0 33 256']",0
016efe618.jpg,4,0,0,0,"['914 189 86 67', '0 75 504 181', '1353 38 125 116', '395 1 200 106']"
01764ee81.jpg,3,0,0,"['799 227 25 29', '1262 164 21 86', '833 163 81 93', '968 162 140 94', '1 128 146 128', '1105 64 24 192', '181 14 28 36', '1346 3 71 252', '1283 3 24 253', '1468 1 60 255']",0
017c828a1.jpg,1,['962 1 29 156'],0,0,0
018ccdfed.jpg,4,0,0,0,"['1442 206 68 44', '1423 20 94 176', '1327 2 79 249', '1095 2 134 82', '765 2 193 61']"
01919944c.jpg,3,0,0,"['700 111 47 143', '1472 3 40 251', '0 0 421 256']",0
019f42c2a.jpg,3,0,0,"['1339 50 23 205', '633 2 26 254', '224 2 39 254', '1510 0 25 256', '1252 0 81 256', '1107 0 29 256', '540 0 28 256', '469 0 50 256', '167 0 44 256']",0
01a1027ce.jpg,3,0,0,"['752 1 23 247', '611 0 26 256']",0
01afbfa7a.jpg,4,0,0,0,['1063 49 152 76']
01b043500.jpg,3,0,0,['718 2 54 254'],0
01b492dd6.jpg,3,0,0,['12 25 28 42'],0
01c3ef286.jpg,3,0,0,"['696 148 27 108', '321 4 29 248']",0
01cf446d4.jpg,3,0,0,['685 1 28 251'],0
01cfacf80.jpg,"3, 4",0,0,['1168 1 251 145'],"['1538 2 57 55', '0 1 569 210']"
01df77e59.jpg,1,"['66 196 33 38', '1155 171 17 27', '115 25 27 43']",0,0,0
01e020dc5.jpg,3,0,0,"['559 3 15 253', '1150 1 73 252', '791 1 52 189', '252 1 21 135', '763 0 18 256', '619 0 102 256', '477 0 28 256']",0
01ebe0d32.jpg,3,0,0,"['741 163 72 93', '850 121 41 135', '382 2 21 128', '1079 1 98 255']",0
01fd320c9.jpg,3,0,0,"['1076 210 154 31', '833 203 241 44', '555 201 230 36']",0
01fd50e68.jpg,3,0,0,"['468 19 17 237', '1089 0 17 256', '845 0 29 256']",0
020ff3106.jpg,3,0,0,"['419 225 38 30', '207 34 32 197']",0
0217af9b1.jpg,3,0,0,['336 0 21 256'],0
0218c0fcc.jpg,4,0,0,0,"['995 139 123 81', '815 6 143 68']"
02291e913.jpg,3,0,0,"['662 3 16 252', '1082 2 30 140']",0
02431211b.jpg,3,0,0,"['1384 3 22 252', '1458 2 19 184', '1352 1 19 254', '970 0 31 256']",0
025cb9f6e.jpg,3,0,0,"['1085 2 25 254', '1168 0 33 256']",0
025dc8dc8.jpg,3,0,0,"['1381 126 20 22', '1243 66 56 190']",0
026183d85.jpg,2,0,['469 64 19 163'],0,0
02701c239.jpg,3,0,0,"['629 2 21 253', '1050 0 19 256']",0
